iter	Passed	Remaining
843	6501	1201
844	6508	1193
845	6515	1185
846	6522	1178
847	6529	1170
848	6536	1162
849	6544	1154
850	6551	1147
851	6559	1139
852	6566	1131
853	6574	1123
854	6581	1116
855	6589	1108
856	6597	1100
857	6605	1093
858	6613	1085
859	6620	1077
860	6627	1070
861	6635	1062
862	6644	1054
863	6651	1047
864	6659	1039
865	6667	1031
866	6674	1023
867	6681	1016
868	6688	1008
869	6696	1000
870	6703	992
871	6711	985
872	6719	977
873	6727	969
874	6735	962
875	6742	954
876	6750	946
877	6759	939
878	6767	931
879	6775	923
880	6783	916
881	6790	908
882	6797	900
883	6805	892
884	6812	885
885	6819	877
886	6827	869
887	6834	862
888	6842	854
889	6849	846
890	6857	838
891	6865	831
892	6872	823
893	6880	815
894	6888	808
895	6895	800
896	6903	792
897	6910	784
898	6918	777
899	6925	769
900	6932	761
901	6940	754
902	6948	746
903	6955	738
904	6962	730
905	6969	723
906	6976	715
907	6984	707
908	6991	699
909	6999	692
910	7006	684
911	7014	676
912	7021	669
913	7029	661
914	7036	653
915	7044	646
916	7051	638
917	7059	630
918	7066	622
919	7073	615
920	7081	607
921	7089	599
922	7096	592
923	7103	584
924	7110	576
925	7118	568
926	7125	561
927	7132	553
928	7140	545
929	7148	538
930	7157	530
931	7164	522
932	7172	515
933	7179	507
934	7186	499
935	7193	491
936	7200	484
937	7208	476
938	7215	468
939	7222	461
940	7230	453
941	7237	445
942	7245	437
943	7252	430
944	7259	422
945	7267	414
946	7275	407
947	7283	399
948	7290	391
949	7297	384
950	7305	376
951	7312	368
952	7320	361
953	7327	353
954	7334	345
955	7342	337
956	7349	330
957	7356	322
958	7364	314
959	7372	307
960	7379	299
961	7388	291
962	7396	284
963	7403	276
964	7411	268
965	7418	261
966	7425	253
967	7433	245
968	7440	238
969	7448	230
970	7456	222
971	7464	215
972	7471	207
973	7479	199
974	7486	191
975	7493	184
976	7501	176
977	7508	168
978	7516	161
979	7524	153
980	7531	145
981	7540	138
982	7548	130
983	7556	122
984	7563	115
985	7571	107
986	7579	99
987	7586	92
988	7593	84
989	7601	76
990	7608	69
991	7614	61
992	7622	53
993	7630	46
994	7637	38
995	7645	30
996	7652	23
997	7660	15
998	7668	7
999	7675	0
